rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
238,4,3,연세좋은손치과의원 교대본점,150,52,0.393421,0.203339,0.237988,0.834748,-,-,0.078477,-0.010656,0.05296
239,0,2,서울코웰치과의원,103,3,0.393376,0.171042,0.233725,0.798143,1,-,0.078477,0.009867,0.054509
240,0,2,준치과의원,123,3,0.393376,0.162999,0.233712,0.790087,1,-,0.078477,0.036303,0.056505
241,3,3,보하치과의원,92,5,0.393421,0.174082,0.233361,0.800864,1,-,0.078477,-0.001581,0.053646
242,5,3,오클라호마자연주의치과의원,9,41,0.393376,0.129394,0.232594,0.755364,-,3,0.078477,-0.013776,0.052725
243,0,2,81도치과교정과치과의원,491,1142,0.393421,0.41282,0.230938,1.037179,13,582,0.078477,0.018563,0.055166
244,2,3,이롬치과의원 서초교대역점,786,1523,0.393421,0.400673,0.230021,1.024115,42,198,0.078477,-0.003059,0.053534
245,0,2,엠씨지치과의원,316,7,0.393376,0.247832,0.22948,0.870688,-1,-,0.078477,0.00611,0.054226
246,0,2,이엔이치과의원,26,422,0.393421,0.146325,0.229219,0.768965,1,19,0.078477,0.006482,0.054254
247,2,1,연세봄치과의원,318,1090,0.393421,0.355272,0.229101,0.977794,7,732,0.078477,0.025483,0.055688
248,4,3,애플치과의원,303,118,0.393421,0.199819,0.228411,0.821651,9,5,0.078477,-0.008287,0.053139
249,2,3,아나플란트치과의원,367,862,0.393421,0.31738,0.228207,0.939008,6,243,0.078477,-0.000708,0.053712
250,2,3,백옥치과의원,99,49,0.393421,0.183309,0.225895,0.802625,2,1,0.078477,-0.018554,0.052365
