club_id,article_id,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
24524198,135577,0,0,0,0,0,0,0,0,0,0,0,0,107,0
10288937,283647,0,0,0,0,0,0,0,0,0,0,0,0,90,332
27055079,280845,0,0,0,0,0,0,0,0,0,0,0,0,594,199
24502148,47430,0,0,0,0,0,0,0,0,0,0,0,0,15,91
24502148,47199,0,0,0,0,0,0,0,0,0,0,0,0,53,46
29496362,9987,0,0,0,0,0,0,0,0,0,0,0,0,16,10
24095040,736847,31,402,0,0,0,0,0,0,0,0,0,0,0,0
24095040,735984,1246,935,0,0,0,0,0,0,0,0,0,0,0,0
12905973,6181748,1596,123,0,0,0,0,0,0,0,0,0,0,0,0
11833155,2442930,140,11,0,0,0,0,0,0,0,0,0,0,0,0
11833155,2446718,21,38,0,0,0,0,0,0,0,0,0,0,0,0
24821657,172,26,17,0,0,0,0,0,0,0,0,0,0,0,0
13886818,13403,38,0,0,0,0,0,0,0,0,0,0,0,0,0
24821657,163,46,0,0,0,0,0,0,0,0,0,0,0,0,0
24821657,173,35,35,0,0,0,0,0,0,0,0,0,0,0,0
24660992,2246469,594,0,0,0,0,0,0,0,0,0,0,0,0,0
24660992,2254396,253,456,0,0,0,0,0,0,0,0,0,0,0,0
24821657,166,74,5,0,0,0,0,0,0,0,0,0,0,0,0
18824112,1040913,882,0,0,0,0,0,0,0,0,0,0,0,0,0
24621251,1669632,116,209,0,0,0,0,0,0,0,0,0,0,0,0
24660992,2250900,533,253,0,0,0,0,0,0,0,0,0,0,0,0
24660992,2251030,717,340,0,0,0,0,0,0,0,0,0,0,0,0
10094499,71137130,192,0,0,0,0,0,0,0,0,0,0,0,0,0
27055079,260644,463,155,0,0,0,0,0,0,0,0,0,0,0,0
24660992,2248900,314,68,0,0,0,0,0,0,0,0,0,0,0,0
12905973,6181928,803,62,0,0,0,0,0,0,0,0,0,0,0,0
11833155,2445402,58,38,0,0,0,0,0,0,0,0,0,0,0,0
15579944,1782949,486,163,0,0,0,0,0,0,0,0,0,0,0,0
18824112,1041552,126,28,0,0,0,0,0,0,0,0,0,0,0,0
24660992,2246739,574,21,0,0,0,0,0,0,0,0,0,0,0,0
11833155,2444492,112,45,0,0,0,0,0,0,0,0,0,0,0,0
28202786,3867,0,0,0,0,0,0,0,0,207,25,0,0,0,0
22862667,567694,0,0,0,0,0,0,0,0,171,0,0,0,0,0
10050813,37951317,0,0,0,0,0,0,0,0,395,187,0,0,0,0
24660992,2359448,0,0,0,0,0,0,0,0,901,246,0,0,0,0
24524198,132997,0,0,0,0,0,0,0,0,0,8,47,0,0,0
29496362,9481,0,0,0,0,0,0,0,0,0,16,0,0,0,0
31159112,2334,0,0,0,0,0,0,0,0,0,387,84,0,0,0
24660992,2356369,0,0,0,0,0,0,0,0,308,0,0,0,0,0
29496362,9426,0,0,0,0,0,0,0,0,1,15,0,0,0,0
29364668,17,0,0,0,0,0,0,0,0,24,5,0,0,0,0
24524198,131077,0,0,0,0,0,0,0,0,45,0,0,0,0,0
22507132,27370,38,0,0,0,0,0,0,0,0,0,0,0,0,0
14985149,3607,960,0,0,0,0,0,0,0,0,0,0,0,0,0
12567918,56732,2,2,0,0,0,0,0,0,0,0,0,0,0,0
29496362,9276,0,0,0,0,0,0,0,21,0,0,0,0,0,0
12730407,5511022,0,0,0,0,0,0,0,66,0,0,0,0,0,0
24660992,2351380,0,0,0,0,0,0,0,203,271,0,0,0,0,0
24660992,2341274,0,0,0,0,0,0,0,372,0,0,0,0,0,0
23989226,88945,0,0,0,0,0,0,0,882,0,0,0,0,0,0
27055079,273535,0,0,0,0,0,0,0,151,910,0,0,0,0,0
24660992,2299518,0,0,0,0,665,0,0,0,0,0,0,0,0,0
