date,year,month,day,day_of_week,data_type,channel_code,channel_name,channel_count,page_visits,booking_requests
2024-09-28,2024,9,28,Saturday,channel,pll,플레이스목록,1,8,1
2024-09-28,2024,9,28,Saturday,channel,psa,플레이스광고,1,8,1
2024-09-29,2024,9,29,Sunday,channel,bee,기타,1,12,5
2024-09-29,2024,9,29,Sunday,channel,bne,네이버기타,8,12,5
2024-09-29,2024,9,29,Sunday,channel,ple,플레이스상세,3,12,5
2024-09-30,2024,9,30,Monday,channel,bmp,지도,5,22,7
2024-09-30,2024,9,30,Monday,channel,bne,네이버기타,11,22,7
2024-09-30,2024,9,30,Monday,channel,ple,플레이스상세,4,22,7
2024-09-30,2024,9,30,Monday,channel,pll,플레이스목록,1,22,7
2024-09-30,2024,9,30,Monday,channel,psa,플레이스광고,1,22,7
2024-10-01,2024,10,1,Tuesday,channel,bmp,지도,5,15,3
2024-10-01,2024,10,1,Tuesday,channel,bne,네이버기타,7,15,3
2024-10-01,2024,10,1,Tuesday,channel,ple,플레이스상세,3,15,3
2024-10-02,2024,10,2,Wednesday,channel,bmp,지도,4,26,6
2024-10-02,2024,10,2,Wednesday,channel,bne,네이버기타,17,26,6
2024-10-02,2024,10,2,Wednesday,channel,ple,플레이스상세,3,26,6
2024-10-02,2024,10,2,Wednesday,channel,pll,플레이스목록,1,26,6
2024-10-02,2024,10,2,Wednesday,channel,psa,플레이스광고,1,26,6
2024-10-03,2024,10,3,Thursday,channel,bmp,지도,1,14,2
2024-10-03,2024,10,3,Thursday,channel,bne,네이버기타,7,14,2
2024-10-03,2024,10,3,Thursday,channel,ple,플레이스상세,3,14,2
2024-10-03,2024,10,3,Thursday,channel,pll,플레이스목록,1,14,2
2024-10-03,2024,10,3,Thursday,channel,psa,플레이스광고,2,14,2
2024-10-04,2024,10,4,Friday,channel,bmp,지도,7,26,9
2024-10-04,2024,10,4,Friday,channel,bee,기타,1,26,9
2024-10-04,2024,10,4,Friday,channel,bne,네이버기타,9,26,9
2024-10-04,2024,10,4,Friday,channel,ple,플레이스상세,7,26,9
2024-10-04,2024,10,4,Friday,channel,pll,플레이스목록,1,26,9
2024-10-04,2024,10,4,Friday,channel,psa,플레이스광고,1,26,9
2024-10-05,2024,10,5,Saturday,channel,bmp,지도,1,8,1
2024-10-05,2024,10,5,Saturday,channel,bne,네이버기타,5,8,1
2024-10-05,2024,10,5,Saturday,channel,pll,플레이스목록,1,8,1
2024-10-05,2024,10,5,Saturday,channel,psa,플레이스광고,1,8,1
2024-10-06,2024,10,6,Sunday,channel,bmp,지도,3,14,4
2024-10-06,2024,10,6,Sunday,channel,bnb,블로그,1,14,4
2024-10-06,2024,10,6,Sunday,channel,bne,네이버기타,8,14,4
2024-10-06,2024,10,6,Sunday,channel,ple,플레이스상세,1,14,4
2024-10-06,2024,10,6,Sunday,channel,pll,플레이스목록,1,14,4
2024-10-07,2024,10,7,Monday,channel,bmp,지도,4,17,4
2024-10-07,2024,10,7,Monday,channel,bee,기타,2,17,4
2024-10-07,2024,10,7,Monday,channel,bnb,블로그,1,17,4
2024-10-07,2024,10,7,Monday,channel,bne,네이버기타,6,17,4
2024-10-07,2024,10,7,Monday,channel,ple,플레이스상세,4,17,4
2024-10-08,2024,10,8,Tuesday,channel,bmp,지도,3,16,2
2024-10-08,2024,10,8,Tuesday,channel,bne,네이버기타,9,16,2
2024-10-08,2024,10,8,Tuesday,channel,ple,플레이스상세,2,16,2
2024-10-08,2024,10,8,Tuesday,channel,pll,플레이스목록,1,16,2
2024-10-08,2024,10,8,Tuesday,channel,psa,플레이스광고,1,16,2
2024-10-09,2024,10,9,Wednesday,channel,bmp,지도,1,13,1
2024-10-09,2024,10,9,Wednesday,channel,bnb,블로그,1,13,1
2024-10-09,2024,10,9,Wednesday,channel,bne,네이버기타,8,13,1
2024-10-09,2024,10,9,Wednesday,channel,ple,플레이스상세,1,13,1
2024-10-09,2024,10,9,Wednesday,channel,pll,플레이스목록,2,13,1
2024-10-10,2024,10,10,Thursday,channel,bmp,지도,7,17,1
2024-10-10,2024,10,10,Thursday,channel,bnb,블로그,1,17,1
2024-10-10,2024,10,10,Thursday,channel,bne,네이버기타,7,17,1
2024-10-10,2024,10,10,Thursday,channel,pll,플레이스목록,1,17,1
2024-10-10,2024,10,10,Thursday,channel,psa,플레이스광고,1,17,1
2024-10-11,2024,10,11,Friday,channel,bmp,지도,1,18,5
2024-10-11,2024,10,11,Friday,channel,bnb,블로그,1,18,5
2024-10-11,2024,10,11,Friday,channel,bne,네이버기타,9,18,5
2024-10-11,2024,10,11,Friday,channel,ple,플레이스상세,6,18,5
2024-10-11,2024,10,11,Friday,channel,pll,플레이스목록,1,18,5
2024-10-12,2024,10,12,Saturday,channel,bmp,지도,2,11,4
2024-10-12,2024,10,12,Saturday,channel,bnb,블로그,2,11,4
2024-10-12,2024,10,12,Saturday,channel,bne,네이버기타,4,11,4
2024-10-12,2024,10,12,Saturday,channel,ple,플레이스상세,3,11,4
2024-10-13,2024,10,13,Sunday,channel,bee,기타,1,10,3
2024-10-13,2024,10,13,Sunday,channel,bmp,지도,1,10,3
2024-10-13,2024,10,13,Sunday,channel,bne,네이버기타,7,10,3
2024-10-13,2024,10,13,Sunday,channel,ple,플레이스상세,1,10,3
2024-10-14,2024,10,14,Monday,channel,bmp,지도,5,19,4
2024-10-14,2024,10,14,Monday,channel,bee,기타,2,19,4
2024-10-14,2024,10,14,Monday,channel,bne,네이버기타,8,19,4
2024-10-14,2024,10,14,Monday,channel,ple,플레이스상세,2,19,4
2024-10-14,2024,10,14,Monday,channel,pll,플레이스목록,2,19,4
2024-10-15,2024,10,15,Tuesday,channel,bee,기타,1,17,9
2024-10-15,2024,10,15,Tuesday,channel,bet,외부서비스,1,17,9
2024-10-15,2024,10,15,Tuesday,channel,bmp,지도,5,17,9
2024-10-15,2024,10,15,Tuesday,channel,bne,네이버기타,9,17,9
2024-10-15,2024,10,15,Tuesday,channel,ple,플레이스상세,1,17,9
2024-10-16,2024,10,16,Wednesday,channel,bee,기타,1,13,3
2024-10-16,2024,10,16,Wednesday,channel,bmp,지도,1,13,3
2024-10-16,2024,10,16,Wednesday,channel,bne,네이버기타,6,13,3
2024-10-16,2024,10,16,Wednesday,channel,ple,플레이스상세,3,13,3
2024-10-16,2024,10,16,Wednesday,channel,psa,플레이스광고,2,13,3
2024-10-17,2024,10,17,Thursday,channel,bee,기타,2,14,5
2024-10-17,2024,10,17,Thursday,channel,bmp,지도,3,14,5
2024-10-17,2024,10,17,Thursday,channel,bne,네이버기타,5,14,5
2024-10-17,2024,10,17,Thursday,channel,ple,플레이스상세,1,14,5
2024-10-17,2024,10,17,Thursday,channel,pll,플레이스목록,1,14,5
2024-10-17,2024,10,17,Thursday,channel,psa,플레이스광고,2,14,5
2024-10-18,2024,10,18,Friday,channel,bmp,지도,2,11,1
2024-10-18,2024,10,18,Friday,channel,bne,네이버기타,7,11,1
2024-10-18,2024,10,18,Friday,channel,ple,플레이스상세,1,11,1
2024-10-18,2024,10,18,Friday,channel,psa,플레이스광고,1,11,1
2024-10-19,2024,10,19,Saturday,channel,bmp,지도,2,11,4
2024-10-19,2024,10,19,Saturday,channel,bne,네이버기타,7,11,4
2024-10-19,2024,10,19,Saturday,channel,ple,플레이스상세,2,11,4
2024-10-20,2024,10,20,Sunday,channel,bmp,지도,4,15,9
2024-10-20,2024,10,20,Sunday,channel,bee,기타,1,15,9
2024-10-20,2024,10,20,Sunday,channel,bne,네이버기타,6,15,9
2024-10-20,2024,10,20,Sunday,channel,ple,플레이스상세,1,15,9
2024-10-20,2024,10,20,Sunday,channel,pll,플레이스목록,3,15,9
2024-10-21,2024,10,21,Monday,channel,bmp,지도,5,26,6
2024-10-21,2024,10,21,Monday,channel,bnb,블로그,1,26,6
2024-10-21,2024,10,21,Monday,channel,bne,네이버기타,13,26,6
2024-10-21,2024,10,21,Monday,channel,ple,플레이스상세,6,26,6
2024-10-21,2024,10,21,Monday,channel,psa,플레이스광고,1,26,6
2024-10-22,2024,10,22,Tuesday,channel,bmp,지도,4,17,5
2024-10-22,2024,10,22,Tuesday,channel,bee,기타,3,17,5
2024-10-22,2024,10,22,Tuesday,channel,bne,네이버기타,9,17,5
2024-10-22,2024,10,22,Tuesday,channel,psa,플레이스광고,1,17,5
2024-10-23,2024,10,23,Wednesday,channel,bmp,지도,4,20,3
2024-10-23,2024,10,23,Wednesday,channel,bne,네이버기타,12,20,3
2024-10-23,2024,10,23,Wednesday,channel,ple,플레이스상세,3,20,3
2024-10-23,2024,10,23,Wednesday,channel,pll,플레이스목록,1,20,3
2024-10-24,2024,10,24,Thursday,channel,bmp,지도,5,17,5
2024-10-24,2024,10,24,Thursday,channel,bne,네이버기타,8,17,5
2024-10-24,2024,10,24,Thursday,channel,ple,플레이스상세,4,17,5
2024-10-25,2024,10,25,Friday,channel,bmp,지도,2,19,5
2024-10-25,2024,10,25,Friday,channel,bne,네이버기타,12,19,5
2024-10-25,2024,10,25,Friday,channel,ple,플레이스상세,3,19,5
2024-10-25,2024,10,25,Friday,channel,pll,플레이스목록,1,19,5
2024-10-25,2024,10,25,Friday,channel,psa,플레이스광고,1,19,5
2024-10-26,2024,10,26,Saturday,channel,bmp,지도,1,11,2
2024-10-26,2024,10,26,Saturday,channel,bne,네이버기타,5,11,2
2024-10-26,2024,10,26,Saturday,channel,ple,플레이스상세,4,11,2
2024-10-26,2024,10,26,Saturday,channel,pll,플레이스목록,1,11,2
2024-10-27,2024,10,27,Sunday,channel,bee,기타,1,12,3
2024-10-27,2024,10,27,Sunday,channel,bmp,지도,4,12,3
2024-10-27,2024,10,27,Sunday,channel,bne,네이버기타,5,12,3
2024-10-27,2024,10,27,Sunday,channel,ple,플레이스상세,1,12,3
2024-10-27,2024,10,27,Sunday,channel,pll,플레이스목록,1,12,3
2024-10-28,2024,10,28,Monday,channel,bmp,지도,8,21,5
2024-10-28,2024,10,28,Monday,channel,pll,플레이스목록,2,21,5
2024-10-28,2024,10,28,Monday,channel,bne,네이버기타,10,21,5
2024-10-28,2024,10,28,Monday,channel,ple,플레이스상세,1,21,5
2024-10-29,2024,10,29,Tuesday,channel,bmp,지도,4,10,3
2024-10-29,2024,10,29,Tuesday,channel,bne,네이버기타,4,10,3
2024-10-29,2024,10,29,Tuesday,channel,ple,플레이스상세,1,10,3
2024-10-29,2024,10,29,Tuesday,channel,pll,플레이스목록,1,10,3
2024-10-30,2024,10,30,Wednesday,channel,bmp,지도,9,18,6
2024-10-30,2024,10,30,Wednesday,channel,bne,네이버기타,7,18,6
2024-10-30,2024,10,30,Wednesday,channel,pll,플레이스목록,2,18,6
2024-10-31,2024,10,31,Thursday,channel,bmp,지도,13,25,8
2024-10-31,2024,10,31,Thursday,channel,bee,기타,2,25,8
2024-10-31,2024,10,31,Thursday,channel,bne,네이버기타,9,25,8
2024-10-31,2024,10,31,Thursday,channel,ple,플레이스상세,1,25,8
2024-11-01,2024,11,1,Friday,channel,bmp,지도,4,13,3
2024-11-01,2024,11,1,Friday,channel,bne,네이버기타,4,13,3
2024-11-01,2024,11,1,Friday,channel,ple,플레이스상세,5,13,3
2024-11-02,2024,11,2,Saturday,channel,bmp,지도,8,12,4
2024-11-02,2024,11,2,Saturday,channel,bne,네이버기타,3,12,4
2024-11-02,2024,11,2,Saturday,channel,ple,플레이스상세,1,12,4
2024-11-03,2024,11,3,Sunday,channel,bmp,지도,1,5,2
2024-11-03,2024,11,3,Sunday,channel,bne,네이버기타,3,5,2
2024-11-03,2024,11,3,Sunday,channel,ple,플레이스상세,1,5,2
2024-11-04,2024,11,4,Monday,channel,bmp,지도,3,15,3
2024-11-04,2024,11,4,Monday,channel,bne,네이버기타,8,15,3
2024-11-04,2024,11,4,Monday,channel,ple,플레이스상세,3,15,3
2024-11-04,2024,11,4,Monday,channel,pll,플레이스목록,1,15,3
2024-11-05,2024,11,5,Tuesday,channel,bmp,지도,4,19,6
2024-11-05,2024,11,5,Tuesday,channel,bne,네이버기타,7,19,6
2024-11-05,2024,11,5,Tuesday,channel,ple,플레이스상세,4,19,6
2024-11-05,2024,11,5,Tuesday,channel,pll,플레이스목록,4,19,6
2024-11-06,2024,11,6,Wednesday,channel,bee,기타,1,8,1
2024-11-06,2024,11,6,Wednesday,channel,bmp,지도,3,8,1
2024-11-06,2024,11,6,Wednesday,channel,bne,네이버기타,2,8,1
2024-11-06,2024,11,6,Wednesday,channel,ple,플레이스상세,1,8,1
2024-11-06,2024,11,6,Wednesday,channel,psa,플레이스광고,1,8,1
2024-11-07,2024,11,7,Thursday,channel,bmp,지도,6,16,2
2024-11-07,2024,11,7,Thursday,channel,bee,기타,1,16,2
2024-11-07,2024,11,7,Thursday,channel,bne,네이버기타,6,16,2
2024-11-07,2024,11,7,Thursday,channel,ple,플레이스상세,2,16,2
2024-11-07,2024,11,7,Thursday,channel,pll,플레이스목록,1,16,2
2024-11-08,2024,11,8,Friday,channel,bmp,지도,2,15,4
2024-11-08,2024,11,8,Friday,channel,bne,네이버기타,11,15,4
2024-11-08,2024,11,8,Friday,channel,ple,플레이스상세,1,15,4
2024-11-08,2024,11,8,Friday,channel,pll,플레이스목록,1,15,4
2024-11-09,2024,11,9,Saturday,channel,bmp,지도,2,9,3
2024-11-09,2024,11,9,Saturday,channel,bne,네이버기타,5,9,3
2024-11-09,2024,11,9,Saturday,channel,ple,플레이스상세,2,9,3
2024-11-10,2024,11,10,Sunday,channel,bmp,지도,1,8,4
2024-11-10,2024,11,10,Sunday,channel,bnb,블로그,1,8,4
2024-11-10,2024,11,10,Sunday,channel,bne,네이버기타,5,8,4
2024-11-10,2024,11,10,Sunday,channel,pll,플레이스목록,1,8,4
2024-11-11,2024,11,11,Monday,channel,bmp,지도,7,25,5
2024-11-11,2024,11,11,Monday,channel,bne,네이버기타,10,25,5
2024-11-11,2024,11,11,Monday,channel,ple,플레이스상세,3,25,5
2024-11-11,2024,11,11,Monday,channel,pll,플레이스목록,4,25,5
2024-11-11,2024,11,11,Monday,channel,psa,플레이스광고,1,25,5
2024-11-12,2024,11,12,Tuesday,channel,bmp,지도,4,15,4
2024-11-12,2024,11,12,Tuesday,channel,bne,네이버기타,6,15,4
2024-11-12,2024,11,12,Tuesday,channel,ple,플레이스상세,2,15,4
2024-11-12,2024,11,12,Tuesday,channel,pll,플레이스목록,3,15,4
2024-11-13,2024,11,13,Wednesday,channel,bmp,지도,7,18,4
2024-11-13,2024,11,13,Wednesday,channel,pll,플레이스목록,2,18,4
2024-11-13,2024,11,13,Wednesday,channel,bne,네이버기타,7,18,4
2024-11-13,2024,11,13,Wednesday,channel,ple,플레이스상세,2,18,4
2024-11-14,2024,11,14,Thursday,channel,bmp,지도,3,11,3
2024-11-14,2024,11,14,Thursday,channel,bne,네이버기타,3,11,3
2024-11-14,2024,11,14,Thursday,channel,ple,플레이스상세,1,11,3
2024-11-14,2024,11,14,Thursday,channel,pll,플레이스목록,1,11,3
2024-11-14,2024,11,14,Thursday,channel,psa,플레이스광고,3,11,3
2024-11-15,2024,11,15,Friday,channel,psa,플레이스광고,2,13,4
2024-11-15,2024,11,15,Friday,channel,bmp,지도,3,13,4
2024-11-15,2024,11,15,Friday,channel,bne,네이버기타,7,13,4
2024-11-15,2024,11,15,Friday,channel,ple,플레이스상세,1,13,4
2024-11-16,2024,11,16,Saturday,channel,bne,네이버기타,4,4,0
2024-11-17,2024,11,17,Sunday,channel,bmp,지도,1,7,3
2024-11-17,2024,11,17,Sunday,channel,bne,네이버기타,3,7,3
2024-11-17,2024,11,17,Sunday,channel,ple,플레이스상세,3,7,3
2024-11-18,2024,11,18,Monday,channel,bmp,지도,5,15,4
2024-11-18,2024,11,18,Monday,channel,pll,플레이스목록,2,15,4
2024-11-18,2024,11,18,Monday,channel,bne,네이버기타,7,15,4
2024-11-18,2024,11,18,Monday,channel,ple,플레이스상세,1,15,4
2024-11-19,2024,11,19,Tuesday,channel,bmp,지도,2,18,6
2024-11-19,2024,11,19,Tuesday,channel,bne,네이버기타,7,18,6
2024-11-19,2024,11,19,Tuesday,channel,ple,플레이스상세,5,18,6
2024-11-19,2024,11,19,Tuesday,channel,pll,플레이스목록,3,18,6
2024-11-19,2024,11,19,Tuesday,channel,psa,플레이스광고,1,18,6
2024-11-20,2024,11,20,Wednesday,channel,bmp,지도,1,9,2
2024-11-20,2024,11,20,Wednesday,channel,bne,네이버기타,4,9,2
2024-11-20,2024,11,20,Wednesday,channel,ple,플레이스상세,2,9,2
2024-11-20,2024,11,20,Wednesday,channel,pll,플레이스목록,2,9,2
2024-11-21,2024,11,21,Thursday,channel,bmp,지도,7,17,2
2024-11-21,2024,11,21,Thursday,channel,bne,네이버기타,5,17,2
2024-11-21,2024,11,21,Thursday,channel,ple,플레이스상세,3,17,2
2024-11-21,2024,11,21,Thursday,channel,pll,플레이스목록,2,17,2
2024-11-22,2024,11,22,Friday,channel,bmp,지도,3,14,6
2024-11-22,2024,11,22,Friday,channel,bne,네이버기타,9,14,6
2024-11-22,2024,11,22,Friday,channel,ple,플레이스상세,2,14,6
2024-11-23,2024,11,23,Saturday,channel,bee,기타,1,6,0
2024-11-23,2024,11,23,Saturday,channel,bne,네이버기타,2,6,0
2024-11-23,2024,11,23,Saturday,channel,ple,플레이스상세,2,6,0
2024-11-23,2024,11,23,Saturday,channel,pll,플레이스목록,1,6,0
2024-11-24,2024,11,24,Sunday,channel,bmp,지도,2,11,5
2024-11-24,2024,11,24,Sunday,channel,bne,네이버기타,6,11,5
2024-11-24,2024,11,24,Sunday,channel,ple,플레이스상세,2,11,5
2024-11-24,2024,11,24,Sunday,channel,pll,플레이스목록,1,11,5
2024-11-25,2024,11,25,Monday,channel,bmp,지도,6,15,5
2024-11-25,2024,11,25,Monday,channel,bet,외부서비스,1,15,5
2024-11-25,2024,11,25,Monday,channel,bne,네이버기타,8,15,5
2024-11-26,2024,11,26,Tuesday,channel,bmp,지도,3,9,1
2024-11-26,2024,11,26,Tuesday,channel,bne,네이버기타,6,9,1
2024-11-27,2024,11,27,Wednesday,channel,bmp,지도,2,16,4
2024-11-27,2024,11,27,Wednesday,channel,bne,네이버기타,12,16,4
2024-11-27,2024,11,27,Wednesday,channel,ple,플레이스상세,1,16,4
2024-11-27,2024,11,27,Wednesday,channel,pll,플레이스목록,1,16,4
2024-11-28,2024,11,28,Thursday,channel,bmp,지도,3,7,2
2024-11-28,2024,11,28,Thursday,channel,bne,네이버기타,2,7,2
2024-11-28,2024,11,28,Thursday,channel,ple,플레이스상세,1,7,2
2024-11-28,2024,11,28,Thursday,channel,pll,플레이스목록,1,7,2
2024-11-29,2024,11,29,Friday,channel,bee,기타,1,7,0
2024-11-29,2024,11,29,Friday,channel,bmp,지도,2,7,0
2024-11-29,2024,11,29,Friday,channel,bne,네이버기타,3,7,0
2024-11-29,2024,11,29,Friday,channel,ple,플레이스상세,1,7,0
2024-11-30,2024,11,30,Saturday,channel,bet,외부서비스,1,11,4
2024-11-30,2024,11,30,Saturday,channel,bmp,지도,1,11,4
