date,year,month,day,day_of_week,data_type,channel_code,channel_name,channel_count,page_visits,booking_requests
2024-09-10,2024,9,10,Tuesday,channel,,플레이스광고,1,7,2
2024-09-11,2024,9,11,Wednesday,channel,,지도,2,5,5
2024-09-11,2024,9,11,Wednesday,channel,,네이버기타,1,5,5
2024-09-11,2024,9,11,Wednesday,channel,,플레이스상세,1,5,5
2024-09-11,2024,9,11,Wednesday,channel,,플레이스목록,1,5,5
2024-09-12,2024,9,12,Thursday,channel,,지도,2,5,0
2024-09-12,2024,9,12,Thursday,channel,,기타,1,5,0
2024-09-12,2024,9,12,Thursday,channel,,네이버기타,1,5,0
2024-09-12,2024,9,12,Thursday,channel,,플레이스상세,1,5,0
2024-09-13,2024,9,13,Friday,channel,,지도,2,5,1
2024-09-13,2024,9,13,Friday,channel,,기타,1,5,1
2024-09-13,2024,9,13,Friday,channel,,네이버기타,1,5,1
2024-09-13,2024,9,13,Friday,channel,,플레이스상세,1,5,1
2024-09-14,2024,9,14,Saturday,channel,,기타,1,4,4
2024-09-14,2024,9,14,Saturday,channel,,네이버기타,1,4,4
2024-09-14,2024,9,14,Saturday,channel,,플레이스상세,1,4,4
2024-09-14,2024,9,14,Saturday,channel,,플레이스목록,1,4,4
2024-09-15,2024,9,15,Sunday,channel,,지도,1,3,0
2024-09-15,2024,9,15,Sunday,channel,,네이버기타,1,3,0
2024-09-15,2024,9,15,Sunday,channel,,플레이스목록,1,3,0
2024-09-16,2024,9,16,Monday,channel,,기타,1,6,1
2024-09-16,2024,9,16,Monday,channel,,지도,1,6,1
2024-09-16,2024,9,16,Monday,channel,,네이버기타,1,6,1
2024-09-16,2024,9,16,Monday,channel,,플레이스상세,1,6,1
2024-09-16,2024,9,16,Monday,channel,,플레이스목록,1,6,1
2024-09-16,2024,9,16,Monday,channel,,플레이스광고,1,6,1
2024-09-17,2024,9,17,Tuesday,channel,,지도,2,4,1
2024-09-17,2024,9,17,Tuesday,channel,,블로그,1,4,1
2024-09-17,2024,9,17,Tuesday,channel,,네이버기타,1,4,1
2024-09-18,2024,9,18,Wednesday,channel,,지도,1,3,4
2024-09-18,2024,9,18,Wednesday,channel,,네이버기타,1,3,4
2024-09-18,2024,9,18,Wednesday,channel,,플레이스상세,1,3,4
2024-09-19,2024,9,19,Thursday,channel,,지도,2,6,5
2024-09-19,2024,9,19,Thursday,channel,,네이버기타,1,6,5
2024-09-19,2024,9,19,Thursday,channel,,플레이스상세,1,6,5
2024-09-19,2024,9,19,Thursday,channel,,플레이스목록,1,6,5
